sensor,a0,a1,a2,a3,a4,a5,a6,a7
ANW109,0.0011016984838334346,0.028201200743431652,0.00013050169256265167,-0.0016343372006877536,-4.599107209966314e-06,4.670401378125947e-05,5.3599781483738666e-08,-4.394663527519582e-07
ANW110,0.002543202942785774,0.10613739201848074,-0.0005177750016060707,-0.0055093581561136765,1.2892246826050746e-05,0.00015378838456375177,-1.100996127811225e-07,-1.4334932244212245e-06
ANW117,-0.0037519465852480847,0.1252728689910384,-0.0002843589929863983,-0.007619289667270375,7.919494372086344e-06,0.00021782707148696695,-7.36688172933747e-08,-2.0476897746449807e-06
ANW19,0.008376602668037773,0.10990091700174812,0.0005431710918456811,-0.005482927838784831,-2.4028790409436308e-05,0.0001521543222476741,2.808273572211937e-07,-1.4180167502818299e-06
ANW22,-0.008688618089761974,0.0807626735276302,-0.0005507291572399378,-0.004178090417864525,2.313533827032909e-05,0.00011614391535370156,-2.591371517482773e-07,-1.081630486972276e-06
ANW43,-0.0022853143978842187,0.11081365464201634,7.112044211975378e-05,-0.005312464861655535,-5.579526911951319e-07,0.00014510427543635863,-5.1092244518726335e-09,-1.343817489868783e-06
ANW49,-0.00047205685873400165,0.030107117767559474,4.181563154870597e-05,-0.0017166346759750794,-1.363414113431489e-06,4.9096117667275004e-05,1.4674750484373512e-08,-4.623714194263644e-07
ANW61,-0.007540262926908631,0.10368054319163221,-0.0017768216936468854,-0.0051488306607402196,6.719087193328729e-05,0.00014215549217256752,-7.401150681660948e-07,-1.3211944503478372e-06
ANW63,-0.011633814955948013,0.13307898657256334,-0.0025388411240547222,-0.006508147597845221,7.957559101155083e-05,0.0001767956124185359,-6.605669555065828e-07,-1.6048072473357766e-06
ANW65,-0.0027211475930386474,0.139550480596933,-0.00027959026831489127,-0.006540744102221854,1.2557310414851528e-05,0.00018015773779612456,-1.3924603373900675e-07,-1.6706801356724732e-06
ANW88,-0.002318920500517955,0.11554058793802797,5.851003875951342e-05,-0.00606950931977981,3.5957367469235114e-06,0.00016885580447945339,-6.916770818105811e-08,-1.5720526301649974e-06
ANW89,-0.48408746211256576,1.1321000566196586,-1.0953254707273736,0.6229109067719587,-0.19738360100604824,0.034807011121266426,-0.003196452911521084,0.00011890879377465035
ANW94,-0.08082449228444653,-0.004572125574564208,0.058257722447092264,0.028446381043748147,-0.0021531296712387635,-0.001191442539232803,2.4253302128209152e-05,1.3454841358686079e-05
